***Using ctrl+h in text editor change dots '.' to ',' to make graph



Vbe[V];Ic[A]


0.01;6.544687343200798E-17
0.02;6.881647013076067E-17
0.03;7.22311567119518E-17
0.04;7.569153654081474E-17
0.05;7.919822105644734E-17
0.060000000000000005;8.275182987985166E-17
0.07;8.635299092341897E-17
0.08;9.000234050188027E-17
0.09;9.37005234447411E-17
0.09999999999999999;9.744819321022118E-17
0.10999999999999999;1.0124601200071849E-16
0.11999999999999998;1.0509465087981856E-16
0.12999999999999998;1.0899478989086945E-16
0.13999999999999999;1.1294711817714343E-16
0.15;1.1695233410360659E-16
0.16;1.2101114538031799E-16
0.17;1.251242691874799E-16
0.18000000000000002;1.2929243230216146E-16
0.19000000000000003;1.3351637122671809E-16
0.20000000000000004;1.3779683231892942E-16
0.21000000000000005;1.4213457192387838E-16
0.22000000000000006;1.465303565075954E-16
0.23000000000000007;1.5098496279249048E-16
0.24000000000000007;1.5549917789459802E-16
0.25000000000000006;1.600737994626578E-16
0.26000000000000006;1.6470963581905725E-16
0.2700000000000001;1.6940750610265984E-16
0.2800000000000001;1.741682404135441E-16
0.2900000000000001;1.7899267995968042E-16
0.3000000000000001;1.8388167720556983E-16
0.3100000000000001;1.8883609602287185E-16
0.3200000000000001;1.9385681184304826E-16
0.3300000000000001;1.9894471181204961E-16
0.34000000000000014;2.041006949470708E-16
0.35000000000000014;2.0932567229540506E-16
0.36000000000000015;2.1462056709542349E-16
0.37000000000000016;2.1998631493970842E-16
0.38000000000000017;2.254238639403699E-16
0.3900000000000002;2.3093417489657464E-16
0.4000000000000002;2.3651822146431617E-16
0.4100000000000002;2.4217699032845705E-16
0.4200000000000002;2.479114813770733E-16
0.4300000000000002;2.537227078781317E-16
0.4400000000000002;2.5961169665853157E-16
0.45000000000000023;2.655794882855415E-16
0.46000000000000024;2.716271372506652E-16
0.47000000000000025;2.7775571215596665E-16
0.48000000000000026;2.8396629590288935E-16
0.49000000000000027;2.9025998588360163E-16
0.5000000000000002;2.9663789417490263E-16
0.5100000000000002;3.0310114773472337E-16
0.5200000000000002;3.0965088860125663E-16
0.5300000000000002;3.1628827409475186E-16
0.5400000000000003;3.2301447702201037E-16
0.5500000000000003;3.29830685883617E-16
0.5600000000000003;3.3673810508394444E-16
0.5700000000000003;3.437379551439683E-16
0.5800000000000003;3.508314729169297E-16
0.5900000000000003;3.580199118068829E-16
0.6000000000000003;3.6530454199016927E-16
0.6100000000000003;3.7268665063985318E-16
0.6200000000000003;3.801675421531614E-16
0.6300000000000003;3.877485383819672E-16
0.6400000000000003;3.954309788663571E-16
0.6500000000000004;4.0321622107132376E-16
0.6600000000000004;4.1110564062662647E-16
0.6700000000000004;4.1910063156986055E-16
0.6800000000000004;4.2720260659278003E-16
0.6900000000000004;4.3541299729091613E-16
0.7000000000000004;4.43733254416536E-16
0.7100000000000004;4.521648481349864E-16
0.7200000000000004;4.607092682844677E-16
0.7300000000000004;4.693680246392842E-16
0.7400000000000004;4.781426471766164E-16
0.7500000000000004;4.870346863468639E-16
0.7600000000000005;4.960457133476055E-16
0.7700000000000005;5.051773204012252E-16
0.7800000000000005;5.144311210362535E-16
0.7900000000000005;5.238087503724719E-16
